Outcome_Variable,Comparison,Not Prepared,Prepared,Somewhat Prepared
Total_Deaths,Not Prepared,1.0,2.0560863191131043e-107,0.005073438948090146
Total_Deaths,Prepared,2.0560863191131043e-107,1.0,1.757997382679404e-126
Total_Deaths,Somewhat Prepared,0.005073438948090146,1.757997382679404e-126,1.0
Total_Injured,Not Prepared,1.0,4.082996432963057e-24,0.0713755614306474
Total_Injured,Prepared,4.082996432963057e-24,1.0,3.809932176112715e-23
Total_Injured,Somewhat Prepared,0.0713755614306474,3.809932176112715e-23,1.0
Total_Homeless,Not Prepared,1.0,6.036978616036909e-12,0.5190584336616985
Total_Homeless,Prepared,6.036978616036909e-12,1.0,4.326284933818773e-27
Total_Homeless,Somewhat Prepared,0.5190584336616985,4.326284933818773e-27,1.0
Total_Affected,Not Prepared,1.0,0.0,5.007660334585655e-71
Total_Affected,Prepared,0.0,1.0,5.26138216820099e-194
Total_Affected,Somewhat Prepared,5.007660334585655e-71,5.26138216820099e-194,1.0
