Subregion,Disaster Type,Not Prepared,Prepared,Somewhat Prepared
Australia and New Zealand,Drought,0.0,1.0,0.0
Australia and New Zealand,Earthquake,0.0,0.5,0.5
Australia and New Zealand,Extreme temperature,0.0,0.5,0.5
Australia and New Zealand,Flood,0.0,0.95,0.05
Australia and New Zealand,Storm,0.0,0.85,0.15
Australia and New Zealand,Wildfire,0.0,1.0,0.0
Central Asia,Drought,0.8,0.0,0.2
Central Asia,Earthquake,0.0,0.85,0.15
Central Asia,Extreme temperature,0.0,1.0,0.0
Central Asia,Flood,0.0,0.81,0.19
Central Asia,Wildfire,0.0,1.0,0.0
Eastern Asia,Drought,0.82,0.18,0.0
Eastern Asia,Earthquake,0.27,0.37,0.35
Eastern Asia,Extreme temperature,0.35,0.5,0.15
Eastern Asia,Flood,0.29,0.4,0.31
Eastern Asia,Storm,0.2,0.46,0.34
Eastern Asia,Wildfire,0.0,1.0,0.0
Eastern Europe,Drought,0.09,0.82,0.09
Eastern Europe,Earthquake,0.0,0.78,0.22
Eastern Europe,Extreme temperature,0.2,0.36,0.44
Eastern Europe,Flood,0.01,0.78,0.21
Eastern Europe,Storm,0.0,1.0,0.0
Eastern Europe,Wildfire,0.0,1.0,0.0
Latin America and the Caribbean,Drought,0.2,0.45,0.35
Latin America and the Caribbean,Earthquake,0.13,0.64,0.23
Latin America and the Caribbean,Extreme temperature,0.0,1.0,0.0
Latin America and the Caribbean,Flood,0.06,0.55,0.39
Latin America and the Caribbean,Storm,0.09,0.62,0.29
Latin America and the Caribbean,Wildfire,0.0,0.78,0.22
Melanesia,Drought,0.33,0.33,0.33
Melanesia,Earthquake,0.08,0.85,0.08
Melanesia,Flood,0.0,0.73,0.27
Melanesia,Storm,0.05,0.54,0.41
Micronesia,Drought,0.0,0.67,0.33
Micronesia,Flood,0.0,1.0,0.0
Micronesia,Storm,0.0,0.82,0.18
Northern Africa,Drought,1.0,0.0,0.0
Northern Africa,Earthquake,0.25,0.62,0.12
Northern Africa,Extreme temperature,0.0,0.8,0.2
Northern Africa,Flood,0.05,0.6,0.35
Northern Africa,Storm,0.0,0.8,0.2
Northern Africa,Wildfire,0.0,0.0,1.0
Northern America,Drought,0.0,0.85,0.15
Northern America,Earthquake,0.0,0.9,0.1
Northern America,Extreme temperature,0.0,0.45,0.55
Northern America,Flood,0.02,0.83,0.15
Northern America,Storm,0.08,0.7,0.22
Northern America,Wildfire,0.0,0.67,0.33
Northern Europe,Drought,0.0,1.0,0.0
Northern Europe,Earthquake,0.0,1.0,0.0
Northern Europe,Extreme temperature,0.12,0.25,0.62
Northern Europe,Flood,0.0,0.93,0.07
Northern Europe,Storm,0.0,1.0,0.0
Polynesia,Drought,0.0,1.0,0.0
Polynesia,Earthquake,0.0,0.67,0.33
Polynesia,Flood,0.0,1.0,0.0
Polynesia,Storm,0.0,0.86,0.14
South-eastern Asia,Drought,0.44,0.41,0.15
South-eastern Asia,Earthquake,0.24,0.45,0.31
South-eastern Asia,Extreme temperature,0.0,0.0,1.0
South-eastern Asia,Flood,0.26,0.3,0.44
South-eastern Asia,Storm,0.42,0.26,0.32
South-eastern Asia,Wildfire,0.0,1.0,0.0
Southern Asia,Drought,0.71,0.1,0.19
Southern Asia,Earthquake,0.19,0.43,0.38
Southern Asia,Extreme temperature,0.12,0.23,0.65
Southern Asia,Flood,0.34,0.23,0.44
Southern Asia,Storm,0.28,0.35,0.37
Southern Europe,Drought,0.0,0.82,0.18
Southern Europe,Earthquake,0.04,0.57,0.39
Southern Europe,Extreme temperature,0.24,0.48,0.28
Southern Europe,Flood,0.01,0.89,0.09
Southern Europe,Storm,0.0,1.0,0.0
Southern Europe,Wildfire,0.0,0.83,0.17
Sub-Saharan Africa,Drought,0.72,0.08,0.2
Sub-Saharan Africa,Earthquake,0.0,0.86,0.14
Sub-Saharan Africa,Extreme temperature,0.0,0.5,0.5
Sub-Saharan Africa,Flood,0.07,0.45,0.48
Sub-Saharan Africa,Storm,0.13,0.55,0.32
Sub-Saharan Africa,Wildfire,0.0,0.5,0.5
Western Asia,Drought,0.5,0.25,0.25
Western Asia,Earthquake,0.1,0.55,0.35
Western Asia,Extreme temperature,0.0,0.75,0.25
Western Asia,Flood,0.0,0.76,0.24
Western Asia,Storm,0.0,0.75,0.25
Western Asia,Wildfire,0.0,0.67,0.33
Western Europe,Drought,0.0,1.0,0.0
Western Europe,Earthquake,0.0,1.0,0.0
Western Europe,Extreme temperature,0.29,0.24,0.46
Western Europe,Flood,0.02,0.91,0.07
Western Europe,Storm,0.0,1.0,0.0
Western Europe,Wildfire,0.0,1.0,0.0
