Year,Prepared,Somewhat Prepared,Not Prepared
2000,0.5604395604395604,0.2857142857142857,0.15384615384615385
2001,0.553763440860215,0.27419354838709675,0.17204301075268819
2002,0.5763546798029556,0.30049261083743845,0.12315270935960591
2003,0.5243243243243243,0.34594594594594597,0.12972972972972974
2004,0.6145251396648045,0.2569832402234637,0.12849162011173185
2005,0.5869565217391305,0.2717391304347826,0.14130434782608695
2006,0.576271186440678,0.3220338983050847,0.1016949152542373
2007,0.5336538461538461,0.33653846153846156,0.12980769230769232
2008,0.4642857142857143,0.34523809523809523,0.19047619047619047
2009,0.5279503105590062,0.32298136645962733,0.14906832298136646
2010,0.48148148148148145,0.3544973544973545,0.164021164021164
2011,0.49019607843137253,0.2679738562091503,0.24183006535947713
2012,0.432258064516129,0.3935483870967742,0.17419354838709677
2013,0.46853146853146854,0.3356643356643357,0.1958041958041958
2014,0.5033557046979866,0.31543624161073824,0.18120805369127516
2015,0.525,0.315,0.16
2016,0.5251396648044693,0.30726256983240224,0.16759776536312848
2017,0.5965909090909091,0.2556818181818182,0.14772727272727273
2018,0.5325443786982249,0.35502958579881655,0.11242603550295859
2019,0.4835164835164835,0.37362637362637363,0.14285714285714285
2020,0.46703296703296704,0.3516483516483517,0.1813186813186813
2021,0.6029411764705882,0.2696078431372549,0.12745098039215685
2022,0.42452830188679247,0.37735849056603776,0.19811320754716982
2023,0.4305555555555556,0.375,0.19444444444444445
